,Draft_Year,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_pg,PTS_pg,TRB_pg,AST_pg,WS,Win_Shares_per_48,BPM,VORP
1221,2019,51,BOS,Tremont Waters,LSU,2,37,357,139,33,78,0.361,0.306,0.96,9.6,3.8,0.9,2.1,0.1,0.019,-2.3,0.0
1222,2019,52,CHO,Jalen McDaniels,San Diego State,2,63,1197,435,234,66,0.469,0.341,0.728,19.0,6.9,3.7,1.0,1.6,0.066,-3.3,-0.4
1223,2019,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0.0,-0.008,-9.0,-0.1
1224,2019,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7.0,2.8,1.8,0.3,-0.1,-0.13,-13.0,-0.1
1225,2019,55,NYK,Kyle Guy,Virginia,2,34,245,91,36,33,0.333,0.265,0.8,7.2,2.7,1.1,1.0,-0.1,-0.016,-6.6,-0.3
1226,2019,56,LAC,Jaylen Hands,UCLA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227,2019,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,0.378,0.286,0.0,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2
1228,2019,58,GSW,Miye Oni,Yale,2,64,628,140,101,32,0.359,0.346,0.818,9.8,2.2,1.6,0.5,1.0,0.078,-2.5,-0.1
1229,2019,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0.0,0.043,-9.6,-0.1
1230,2019,60,SAC,Vanja Marinković,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231,2020,1,MIN,Anthony Edwards,Georgia,1,72,2314,1392,336,211,0.417,0.329,0.776,32.1,19.3,4.7,2.9,0.8,0.017,-2.6,-0.3
1232,2020,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,0.519,0.316,0.628,21.4,11.5,5.8,0.7,0.7,0.042,-5.4,-0.7
1233,2020,3,CHO,LaMelo Ball,,1,51,1469,803,302,313,0.436,0.352,0.758,28.8,15.7,5.9,6.1,2.8,0.093,1.9,1.4
1234,2020,4,CHI,Patrick Williams,Florida State,1,71,1983,655,327,99,0.483,0.391,0.728,27.9,9.2,4.6,1.4,2.5,0.06,-2.7,-0.3
1235,2020,5,CLE,Isaac Okoro,Auburn,1,67,2173,646,206,128,0.42,0.29,0.726,32.4,9.6,3.1,1.9,0.9,0.02,-5.0,-1.6
1236,2020,6,ATL,Onyeka Okongwu,USC,1,50,601,228,163,18,0.644,0.0,0.632,12.0,4.6,3.3,0.4,1.9,0.155,-1.3,0.1
1237,2020,7,DET,Killian Hayes,,1,26,670,176,69,138,0.353,0.278,0.824,25.8,6.8,2.7,5.3,-1.1,-0.081,-7.3,-0.9
